joint1,joint2,joint3,joint4,joint5,joint6
-3.659923028210368e-16,-0.5235987666666667,2.0943950666666664,-4.544993107417861e-17,-1.5707963,-4.3920633427245145e-16
-1.0345627559491494e-15,-0.5235987666666668,2.0943950666666664,-1.285296375707798e-16,-1.5707963000000003,-1.2414993895880236e-15
-1.953258593949917e-15,-0.523598766666667,2.0943950666666664,-2.430664347218986e-16,-1.5707963000000005,-2.3441359641536858e-15
-3.07875831301255e-15,-0.5235987666666673,2.0943950666666664,-3.833427949452455e-16,-1.5707963000000007,-3.695051401913153e-15
-4.375233574613561e-15,-0.5235987666666676,2.0943950666666664,-5.445252521576133e-16,-1.570796300000001,-5.251213829325922e-15
-5.813037867167609e-15,-0.5235987666666679,2.0943950666666664,-7.234648206270661e-16,-1.5707963000000011,-6.977087260077209e-15
-7.367692719651811e-15,-0.5235987666666683,2.094395066666667,-9.169807442499187e-16,-1.5707963000000016,-8.843193836943739e-15
-9.018995468529877e-15,-0.5235987666666686,2.0943950666666673,-1.1226720816871853e-15,-1.570796300000002,-1.0825258723733803e-14
-1.0750194837798469e-14,-0.523598766666669,2.0943950666666677,-1.338320380706708e-15,-1.5707963000000025,-1.2903106542967568e-14
-1.2547437831680818e-14,-0.5235987666666695,2.094395066666668,-1.5620661659710843e-15,-1.570796300000003,-1.506028570716247e-14
-1.439928307415207e-14,-0.5235987666666699,2.0943950666666686,-1.7922053159618345e-15,-1.5707963000000034,-1.7282866327198423e-14
-1.629627216854287e-14,-0.5235987666666704,2.094395066666669,-2.0278904735873894e-15,-1.5707963000000038,-1.9559588059662995e-14
-1.8230567772725412e-14,-0.5235987666666708,2.0943950666666695,-2.2679687322523484e-15,-1.5707963000000043,-2.1881094816869e-14
-2.019572324353703e-14,-0.5235987666666713,2.09439506666667,-2.5123185358201468e-15,-1.5707963000000047,-2.423961723586071e-14
-2.2186386261357114e-14,-0.5235987666666717,2.0943950666666704,-2.7597735976382735e-15,-1.5707963000000051,-2.6628823464560455e-14
-2.419813656105605e-14,-0.5235987666666722,2.094395066666671,-3.0099045883044987e-15,-1.5707963000000056,-2.904333672472589e-14
-2.6227313051691427e-14,-0.5235987666666726,2.0943950666666713,-3.262273243850404e-15,-1.570796300000006,-3.147874432827639e-14
-2.8270878081472417e-14,-0.523598766666673,2.0943950666666717,-3.516077550515418e-15,-1.5707963000000065,-3.393154606986377e-14
-3.0326343964790895e-14,-0.5235987666666735,2.094395066666672,-3.771590442214071e-15,-1.570796300000007,-3.639871471518152e-14
-3.2391673543991156e-14,-0.5235987666666739,2.0943950666666726,-4.028339624655324e-15,-1.5707963000000074,-3.8877675454097446e-14
-3.446514573204806e-14,-0.5235987666666744,2.094395066666673,-4.286007169817529e-15,-1.5707963000000078,-4.136649652458083e-14
-3.6545356726934954e-14,-0.5235987666666748,2.0943950666666735,-4.544479396976946e-15,-1.5707963000000082,-4.386337672024488e-14
-3.8631110726531097e-14,-0.5235987666666753,2.094395066666674,-4.8034585918337415e-15,-1.5707963000000087,-4.636691847732227e-14
-4.0721458956135874e-14,-0.5235987666666757,2.0943950666666744,-5.0631756265694115e-15,-1.5707963000000091,-4.887596911911526e-14
-4.281561054172015e-14,-0.5235987666666762,2.094395066666675,-5.323702542597098e-15,-1.5707963000000096,-5.138957858537981e-14
-4.491290965113609e-14,-0.5235987666666766,2.0943950666666753,-5.584621007979995e-15,-1.57079630000001,-5.390693736702073e-14
-4.701281625855708e-14,-0.523598766666677,2.0943950666666757,-5.845475600025017e-15,-1.5707963000000105,-5.642752688075432e-14
-4.911487758550026e-14,-0.5235987666666775,2.094395066666676,-6.106659496948562e-15,-1.570796300000011,-5.8950677617525e-14
-5.12187297189444e-14,-0.5235987666666779,2.0943950666666766,-6.367925113990895e-15,-1.5707963000000114,-6.147586420550773e-14
-5.33240407187726e-14,-0.5235987666666784,2.094395066666677,-6.629406222918433e-15,-1.5707963000000118,-6.400281727122784e-14
-5.543058813559402e-14,-0.5235987666666788,2.0943950666666775,-6.891021120199307e-15,-1.5707963000000122,-6.653115105272e-14
-5.753813963929293e-14,-0.5235987666666793,2.094395066666678,-7.1529205245878e-15,-1.5707963000000127,-6.906067817129015e-14
-5.964650504730358e-14,-0.5235987666666797,2.0943950666666784,-7.414796441926223e-15,-1.5707963000000131,-7.159119703106858e-14
-6.17555678284338e-14,-0.5235987666666801,2.094395066666679,-7.67647105089727e-15,-1.5707963000000136,-7.412246190228529e-14
-6.386520850288828e-14,-0.5235987666666806,2.0943950666666793,-7.938175346449993e-15,-1.570796300000014,-7.665434240717013e-14
-6.597531394929726e-14,-0.523598766666681,2.0943950666666797,-8.200259116166854e-15,-1.5707963000000145,-7.9186700454152e-14
-6.808579808388554e-14,-0.5235987666666815,2.09439506666668,-8.462351309362128e-15,-1.570796300000015,-8.171952836305666e-14
-7.019659651693524e-14,-0.5235987666666819,2.0943950666666806,-8.724336023274827e-15,-1.5707963000000154,-8.425282492269762e-14
-7.230766871905164e-14,-0.5235987666666824,2.094395066666681,-8.98654028546182e-15,-1.5707963000000158,-8.678643029065407e-14
-7.441895595438552e-14,-0.5235987666666828,2.0943950666666815,-9.248518683343686e-15,-1.5707963000000162,-8.932038150774249e-14
-7.653043983500362e-14,-0.5235987666666833,2.094395066666682,-9.510501775639065e-15,-1.5707963000000167,-9.18545661690211e-14
-7.864208570838942e-14,-0.5235987666666837,2.0943950666666824,-9.772731697440364e-15,-1.5707963000000171,-9.4388933058896e-14
-8.075387003080458e-14,-0.5235987666666841,2.094395066666683,-1.0034968178599203e-14,-1.5707963000000176,-9.692330579707668e-14
-8.286574215201039e-14,-0.5235987666666846,2.0943950666666833,-1.0297153089864692e-14,-1.570796300000018,-9.945789945202191e-14
-8.497769287955904e-14,-0.523598766666685,2.0943950666666837,-1.055897372685191e-14,-1.5707963000000185,-1.019924999897649e-13
-8.708969837761063e-14,-0.5235987666666855,2.094395066666684,-1.0820997926462286e-14,-1.570796300000019,-1.045272658073568e-13
-8.920174644239706e-14,-0.5235987666666859,2.094395066666684,-1.108317991429877e-14,-1.5707963000000194,-1.0706219665428776e-13
-9.131384488037962e-14,-0.5235987666666863,2.094395066666684,-1.1345362367730975e-14,-1.5707963000000198,-1.0959711068129302e-13
-9.342600333138211e-14,-0.5235987666666866,2.094395066666684,-1.1607580902034534e-14,-1.5707963000000202,-1.1213206330940797e-13
-9.553820204527873e-14,-0.5235987666666869,2.094395066666684,-1.1869882065049473e-14,-1.5707963000000207,-1.146670587896891e-13
-9.76504328072866e-14,-0.5235987666666873,2.094395066666684,-1.2131679828779954e-14,-1.5707963000000211,-1.1720200403752758e-13
-9.976266573446709e-14,-0.5235987666666876,2.094395066666684,-1.2393533581728484e-14,-1.5707963000000216,-1.1973697170504263e-13
-1.0187491789412035e-13,-0.5235987666666879,2.094395066666684,-1.2655528040345493e-14,-1.570796300000022,-1.2227194198267975e-13
-1.0398716504372674e-13,-0.5235987666666883,2.094395066666684,-1.2917151541795214e-14,-1.5707963000000225,-1.248070297342478e-13
-1.0609941444397468e-13,-0.5235987666666886,2.094395066666684,-1.3179079602872983e-14,-1.570796300000023,-1.2734220747532677e-13
-1.0821167637174881e-13,-0.5235987666666889,2.094395066666684,-1.3440899138210925e-14,-1.5707963000000233,-1.2987730870033077e-13
-1.103239659966266e-13,-0.5235987666666893,2.094395066666684,-1.3703150259172767e-14,-1.5707963000000238,-1.3241243316498482e-13
-1.1243625469503377e-13,-0.5235987666666896,2.094395066666684,-1.3965334248635812e-14,-1.5707963000000242,-1.3494763579073698e-13
